图片路径,图片名称,预测类别ID,预测类别名称,置信度
/home/yjc/Project/plant_classfication/images/Yulan/5.jpg,5.jpg,7598,Cornus florida,0.079581
/home/yjc/Project/plant_classfication/images/Yulan/2.jpg,2.jpg,8764,Magnolia virginiana,0.054202
/home/yjc/Project/plant_classfication/images/Yulan/1.jpg,1.jpg,8764,Magnolia virginiana,0.035620
/home/yjc/Project/plant_classfication/images/Yulan/3.jpg,3.jpg,8941,Gossypium hirsutum,0.868881
/home/yjc/Project/plant_classfication/images/Yulan/4.jpg,4.jpg,7598,Cornus florida,0.081485
