图片路径,图片名称,预测类别ID,预测类别名称,置信度
/home/yjc/Project/plant_classfication/images/hackberry/5.jpg,5.jpg,8749,Cinnamomum camphora,0.095691
/home/yjc/Project/plant_classfication/images/hackberry/2.jpg,2.jpg,8217,Juglans nigra,0.106786
/home/yjc/Project/plant_classfication/images/hackberry/1.jpg,1.jpg,8749,Cinnamomum camphora,0.156595
/home/yjc/Project/plant_classfication/images/hackberry/3.jpg,3.jpg,8141,Alnus rhombifolia,0.104069
/home/yjc/Project/plant_classfication/images/hackberry/4.jpg,4.jpg,8141,Alnus rhombifolia,0.104069
