图片路径,图片名称,预测类别ID,预测类别名称,置信度
/home/yjc/Project/plant_classfication/images/soapberry/5.jpg,5.jpg,9530,Malosma laurina,0.094840
/home/yjc/Project/plant_classfication/images/soapberry/2.jpg,2.jpg,9531,Mangifera indica,0.120756
/home/yjc/Project/plant_classfication/images/soapberry/1.jpg,1.jpg,9591,Sapindus drummondii,0.615224
/home/yjc/Project/plant_classfication/images/soapberry/3.jpg,3.jpg,9530,Malosma laurina,0.094840
/home/yjc/Project/plant_classfication/images/soapberry/4.jpg,4.jpg,9531,Mangifera indica,0.089351
